title,price,date_posted,address,rental_type,num_bedrooms,num_bathrooms,url,company,company_type,Parking Included,Agreement Type,Pet Friendly,Move-In Date,Size (sqft),Furnished,Air Conditioning,Smoking Permitted,Elevator Accessibility Features,Barrier-free Entrances and Ramps,Visual Aids,Accessible Washrooms in Suite,heat,hydro,water,cable_tv,internet,laundry_unit,laundry_building,dishwasher,fridge_freezer,yard,balcony,building_security,building_elevator,building_gym,bycycle_parking,storage_space
Office space for lease ,,2024-03-05T13:37:45.000Z,"2608 Windsor St, Halifax, NS B3K 5C8",,,,https://www.kijiji.ca/v-commercial-office-space/city-of-halifax/office-space-for-lease/1687334889,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
SUBLET - 1 private room in three bedrooms house ,850,2024-03-05T13:22:42.000Z,"1690 Walnut St, Halifax, NS B3H 3S4",,1,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/sublet-1-private-room-in-three-bedrooms-house/1687333903,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
SUBLET: 1 Bedroom in 4 person house ,1000,2024-03-05T12:25:51.000Z,"Poplar St, Halifax, B3L 2Y6",,,,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/sublet:-1-bedroom-in-4-person-house/1687331135,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Three Bedroom House - Cole Harbour,2700,2024-03-05T10:09:16.000Z,"Dartmouth, NS B2W 6H5",House,3,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/three-bedroom-house-cole-harbour/1687327100,Kijiji User,Owner,3+,1 Year,Yes,01-Apr-24,"1,600",No,Yes,Outdoors only,,,,,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Studio Apartment in the heart of the South End,1700,2024-03-05T05:43:47.000Z,"Halifax, NS B3H 1X8",,Bachelor/Studio,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/studio-apartment-in-the-heart-of-the-south-end/1687321408,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Private room for rent,1250,2024-03-05T04:26:10.000Z,"Portland Pl, Halifax, B3K 1A1",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/private-room-for-rent/1687318585,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2 bedrooms available in 3 bedroom apartment ,900,2024-03-05T03:55:49.000Z,"Morris St, Halifax, B3J 1C4",,2,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/2-bedrooms-available-in-3-bedroom-apartment/1687317197,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
New 3+1 Bedroom House for Rent,2800,2024-03-05T03:12:45.000Z,"Gala Court, Halifax, NS",House,3 + Den,4,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/new-3-1-bedroom-house-for-rent/1687314943,Kijiji User,Owner,2,1 Year,Limited,04-May-24,"2,000",No,Yes,No,,,,,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Beautiful 2 Story Home West End Halifax,285,2024-03-05T02:02:01.000Z,"6287 London Street, Halifax, NS",,3,1.5,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/beautiful-2-story-home-west-end-halifax/1684634439,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Parking in Halifax,173,2024-03-05T00:34:57.000Z,"967 Mitchell Street, Halifax, NS, B3H 2R5",,,,https://www.kijiji.ca/v-storage-parking/city-of-halifax/parking-in-halifax/1659416914,Kijiji User,Professional,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Downtown Furnished Condo - Harris Street - $1800  - April 1,1800,2024-03-05T00:29:17.000Z,"Halifax, NS B3K 1H7",Condo,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/downtown-furnished-condo-harris-street-1800-april-1/1687302811,Kijiji User,Owner,1,1 Year,No,01-Apr-24,600,Yes,No,No,,,,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No
Summer Sublet for $950,950,2024-03-05T00:09:13.000Z,"Seymour Street, Halifax, NS",,2,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/summer-sublet-for-950/1687301261,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Room for rent,1095,2024-03-04T22:56:54.000Z,"1424 Seymour Street, Halifax, NS",,4,1.5,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/room-for-rent/1687295133,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
SUMMER SUBLET: 3 Bedroom Unit Available for Rent,1080,2024-03-04T22:41:46.000Z,"6261 Allan Street, Halifax, NS",,3,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/summer-sublet:-3-bedroom-unit-available-for-rent/1687293817,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Looking to rent out 2br apartment for the summer,2600,2024-03-04T21:28:10.000Z,"Fenwick St, Halifax, NS B3H 4M2",,2,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/looking-to-rent-out-2br-apartment-for-the-summer/1687286542,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3 bedroom house,2400,2024-03-04T21:18:37.000Z,"Halifax, NS B3K 4B5",House,3,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/3-bedroom-house/1687285475,Kijiji User,Owner,1,1 Year,Limited,01-Apr-24,1,No,Yes,Outdoors only,,,,,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
Room for rent,800,2024-03-04T21:07:46.000Z,"Layton Road, Halifax, NS",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/room-for-rent/1687284217,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Summer Bedroom Sublet May 1st - September 1st,750,2024-03-04T20:45:12.000Z,"6033 South Street, Halifax, NS",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/summer-bedroom-sublet-may-1st-september-1st/1687281784,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Room for rent in north end Halifax ,40,2024-03-04T20:39:31.000Z,"3564 Robie St apt 2, Halifax, NS B3K 4S6",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/room-for-rent-in-north-end-halifax/1687281073,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Large bedroom sublet in spacious 2 bedroom apartment,1000,2024-03-04T20:21:19.000Z,"Quinpool Road, Halifax, NS",,1,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/1-large-bedroom-sublet-in-spacious-2-bedroom-apartment/1687278767,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sublet April-September,900,2024-03-04T19:51:26.000Z,"1333 South Park St, Halifax, NS B3J 2K9",,2,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/sublet-april-september/1687275785,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2 Bed April-August Sublet,1950,2024-03-04T18:52:23.000Z,"830 McLean St, Halifax, NS B3H 2T8",,2,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/2-bed-april-august-sublet/1687269691,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2 bedrooms 1.5 bathrooms,1060,2024-03-04T18:48:38.000Z,"Wellington St, Halifax, NS B3H 3A1",,2,1.5,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/2-bedrooms-1-5-bathrooms/1687269310,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Fully furnished Private suite for rent,1700,2024-03-04T17:49:17.000Z,"Mica Cres, Halifax, NS B3P",,1,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/fully-furnished-private-suite-for-rent/1687263308,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"All-Inclusive Executive 4 Bedroom House w/Gym, 12 mins to DT",5500,2024-03-04T17:10:12.000Z,"Halifax, NS B3N",,4,3.5,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/all-inclusive-executive-4-bedroom-house-w-gym-12-mins-to-dt/1675315533,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Summer sublet- room in a 2 bedroom,818,2024-03-04T15:31:01.000Z,"Halifax, NS B3H 1M3",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/summer-sublet-room-in-a-2-bedroom/1687248612,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Roommate wanted,1200,2024-03-04T13:06:18.000Z,"Halifax, NS B3K 5L3",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/roommate-wanted/1687236109,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Parking for Rent,125,2024-03-04T05:50:49.000Z,"Halifax, NS B3K 2Y7",,,,https://www.kijiji.ca/v-storage-parking/city-of-halifax/parking-for-rent/1687224761,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Private Room in 4 Bedroom House, 5 Minutes to Dalhousie",950,2024-03-04T02:16:10.000Z,"Jubilee Road, Halifax, NS",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/private-room-in-4-bedroom-house-5-minutes-to-dalhousie/1687214682,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Private Room in 5 Bedroom House, 2 Minute from Dalhousie Campus",875,2024-03-04T02:06:45.000Z,"1597 Chestnut Street, Halifax, NS",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/private-room-in-5-bedroom-house-2-minute-from-dalhousie-campus/1687214055,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Brewery Market downtown office space for sublease,,2024-03-04T00:40:03.000Z,"1496 Lower Water Street, Halifax, NS, B3J 3R5",,,,https://www.kijiji.ca/v-commercial-office-space/city-of-halifax/brewery-market-downtown-office-space-for-sublease/1652912569,Kijiji User,Professional,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
New Building in Enfield Now Open - Breath Taking River Views!,2200,2024-03-04T00:39:45.000Z,"157 Trunk 2, Enfield, NS, B2T 1C8",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/new-building-in-enfield-now-open-breath-taking-river-views/1673998945,Kijiji User,Professional,1,1 Year,Yes,,Not Available,No,No,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No
Fully renovated 3 bedroom townhouse available on April 1st ,2850,2024-03-04T00:37:40.000Z,"Gainsborough Pl, Halifax, NS B3K 5R8",Condo,2 + Den,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/fully-renovated-3-bedroom-townhouse-available-on-april-1st/1687207560,Kijiji User,Owner,1,1 Year,Limited,01-Apr-24,"1,500",No,Yes,Outdoors only,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Summer Room Rental - (May-Aug)Large House (Decks, Parking, Etc.)",775,2024-03-03T23:27:50.000Z,"South Street, Halifax, NS",,6+,3,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/summer-room-rental-may-aug-large-house-decks-parking-etc/1687201972,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Large Room Summer Rental May-Aug (Deck, Parking, Spacious Home)",775,2024-03-03T23:23:37.000Z,"South Street, Halifax, NS",,6+,3,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/large-room-summer-rental-may-aug-deck-parking-spacious-home/1687201634,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Room for Summer Sublet in 5 Bedroom House,750,2024-03-03T23:17:05.000Z,"North Street, Halifax, NS",,1,1.5,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/1-room-for-summer-sublet-in-5-bedroom-house/1687201060,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Room for Rent,1300,2024-03-03T22:45:47.000Z,"Ashton Lane, Halifax, NS",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/room-for-rent/1687198239,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
One fully furnished private room avbl for female from 1st April,800,2024-03-03T21:46:05.000Z,"Halifax, NS B3M 1P9",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/one-fully-furnished-private-room-avbl-for-female-from-1st-april/1687192419,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Roommate Wanted!!,1007,2024-03-03T21:35:30.000Z,"Larch Street, Halifax, NS",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/roommate-wanted/1687191393,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2 Bedroom condo for rent,2480,2024-03-03T19:37:39.000Z,"Larry Uteck Boulevard, Halifax, NS",Condo,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-condo-for-rent/1687178648,Kijiji User,Owner,1,1 Year,No,01-Apr-24,"1,200",Yes,No,Outdoors only,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
C2     nearly 2  acres for rent,,2024-03-03T16:45:31.000Z,"Prospect Road, Goodwood, NS",,,,https://www.kijiji.ca/v-commercial-office-space/city-of-halifax/c2-nearly-2-acres-for-rent/1684120678,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bright & Modern 1 BED | 1 BATH | Dutch Village Road,1725,2024-03-03T15:21:29.000Z,"Dutch Village Road, Halifax, NS",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bright-modern-1-bed-1-bath-dutch-village-road/1687151389,Kijiji User,Owner,0,1 Year,Limited,01-May-24,700,No,No,No,,,,,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No
Room for rent,1100,2024-03-03T14:57:35.000Z,"Herring Cove Road, Halifax, NS",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/room-for-rent/1687148342,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Renting a furnished room in the house ,1200,2024-03-03T13:52:59.000Z,"Grenoble Ct, Halifax, NS B3P 0J8",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/renting-a-furnished-room-in-the-house/1687142306,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"2 beds 1.5 baths for rent from May 1, 2024 in Fairview Halifax",2200,2024-03-03T12:59:07.000Z,"Rosedale Ave, Halifax, NS B3N 2J2",House,2,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-beds-1-5-baths-for-rent-from-may-1-2024-in-fairview-halifax/1687138893,Kijiji User,Owner,2,1 Year,Yes,01-May-24,"1,100",No,No,Outdoors only,,,,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Private Room Available,1125,2024-03-03T07:06:48.000Z,"Seymour Street, Halifax, NS",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/private-room-available/1687132349,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Furnished Room for rent,900,2024-03-03T02:42:51.000Z,"Halifax, NS B3M 3X6",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/furnished-room-for-rent/1687125459,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Move In Ready ! ,1250,2024-03-03T00:20:13.000Z,"11 Osprey Dr, Shad Bay, NS B3T 2C1",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/move-in-ready/1687118011,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Find office space in Founders Square for 1 person,707,2024-03-03T00:08:51.000Z,"1701 Hollis Street,Suite 800, Halifax, NS, B3J 3M8",,,,https://www.kijiji.ca/v-commercial-office-space/city-of-halifax/find-office-space-in-founders-square-for-1-person/1513449668,Kijiji User,Professional,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Book open plan office space for businesses of all sizes in Purdy,4635,2024-03-03T00:08:50.000Z,"1959 Upper Water Street, Suite 1700, Tower 1, Halifax, NS, B3J 3N2",,,,https://www.kijiji.ca/v-commercial-office-space/city-of-halifax/book-open-plan-office-space-for-businesses-of-all-sizes-in-purdy/1519085323,Kijiji User,Professional,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
24-011 Modern furnished condo Dartmouth waterfront,3400,2024-03-03T00:07:25.000Z,"Kings Wharf Place, Dartmouth, NS, B2Y 0C7",,1 + Den,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/24-011-modern-furnished-condo-dartmouth-waterfront/1684069564,Kijiji User,Professional,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
COMMERCIAL OFFICE FOR RENT ,,2024-03-02T22:58:01.000Z,"West St, Halifax, NS B3K 1H6",,,,https://www.kijiji.ca/v-commercial-office-space/city-of-halifax/commercial-office-for-rent/1687112706,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Room for rent from May 1st,875,2024-03-02T22:16:10.000Z,"Halifax, NS B3J 1A5",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/room-for-rent-from-may-1st/1687109752,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 room (in a 3 bed) summer sublet (all utilities included),1020,2024-03-02T21:47:46.000Z,"1412 Seymour St, Halifax, NS B3H 3M5",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/1-room-in-a-3-bed-summer-sublet-all-utilities-included/1687107488,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Room for rent in home,1000,2024-03-02T21:18:46.000Z,"Lakeview, NS B4C 4C9",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/room-for-rent-in-home/1687104927,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2 storey home in Halifax with character,2900,2024-03-02T19:16:12.000Z,"Halifax, NS B3K 3T8",,2 + Den,2,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/2-storey-home-in-halifax-with-character/1687093496,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Downtown Bachelor Apartment,1440,2024-03-02T17:29:31.000Z,"Halifax, NS B3H",Apartment,Bachelor/Studio,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/downtown-bachelor-apartment/1687082961,Kijiji User,Owner,0,Month-to-month,No,15-Apr-24,355,Yes,No,Outdoors only,,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No
Very large room plus all utilities in southend Halifax,1400,2024-03-02T17:10:54.000Z,"1181 South Park St, Halifax, NS B3H 2W9",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/very-large-room-plus-all-utilities-in-southend-halifax/1687081073,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"3 Bedroom, 3 Bathroom - EVERYTHING INCLUDED!",3000,2024-03-02T17:07:54.000Z,"Halifax, NS B3N 2N4",Apartment,3,3,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/3-bedroom-3-bathroom-everything-included/1687080752,Kijiji User,Owner,1,1 Year,No,01-Apr-24,"1,500",No,Yes,No,,,,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
Sublet - April 1-August 31,750,2024-03-02T16:51:35.000Z,"6130 South St, Halifax, NS B3H 1T3",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/sublet-april-1-august-31/1687079069,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 private bedroom available for rent in a 2 bedroom 2 bathroom,1300,2024-03-02T16:22:41.000Z,"Halifax, NS B3K",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/1-private-bedroom-available-for-rent-in-a-2-bedroom-2-bathroom/1687076230,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Room for rent,1000,2024-03-02T16:06:30.000Z,"31 Sussex St, Halifax, NS B3R 1P1",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/room-for-rent/1687074680,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 bhk available for rent( summer term),1949,2024-03-02T15:23:35.000Z,"6060 South St, Halifax, NS B3H 1T1",,1,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/1-bhk-available-for-rent-summer-term/1683516705,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"2 Bedroom Apartment, $2300 includes heat and lights",2300,2024-03-02T15:01:38.000Z,"16 Birches Dr, Halifax, NS B3N 1J1",Duplex/Triplex,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-apartment-2300-includes-heat-and-lights/1687068440,Kijiji User,Owner,1,1 Year,Limited,01-May-24,950,No,No,No,,,,,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No
The Nook - 2 Bedroom Apartment for Rent,2700,2024-03-02T12:42:01.000Z,"5601 Fenwick St., Halifax, NS, B3H 1R1",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/the-nook-2-bedroom-apartment-for-rent/1687057235,Kijiji User,Professional,0,1 Year,No,01-Jun-24,905,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Fully Equipped Commercial Kitchen for Rent at The Village Square,40,2024-03-02T12:17:09.000Z,"Halifax, NS B3R 2H9",,,,https://www.kijiji.ca/v-commercial-office-space/city-of-halifax/fully-equipped-commercial-kitchen-for-rent-at-the-village-square/1687057748,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Downtown parking pass avail immediately $120/m,120,2024-03-02T04:04:16.000Z,"Halifax, NS B3S 1G5",,,,https://www.kijiji.ca/v-storage-parking/city-of-halifax/downtown-parking-pass-avail-immediately-120-m/1687046113,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2 Bedroom Basement Apartment North End Halifax,1750,2024-03-02T03:35:26.000Z,"Halifax, NS B3K 2S1",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-basement-apartment-north-end-halifax/1687043635,Kijiji User,Owner,0,1 Year,Yes,01-Apr-24,600,No,Yes,No,,,,,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
Take Over Lease for apartment at 1030 South Park St. Halifax,1725,2024-03-02T02:41:09.000Z,"1030 South Park Street, Halifax, NS",,1,1.5,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/take-over-lease-for-apartment-at-1030-south-park-st-halifax/1683752505,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"2 Bedroom, 2 level duplex, North End Hfx $2400, Available May 1",2400,2024-03-02T02:30:24.000Z,"3861 Kencrest Ave, Halifax, NS B3K 3L4",Duplex/Triplex,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-2-level-duplex-north-end-hfx-2400-available-may-1/1687037871,Kijiji User,Owner,1,1 Year,Limited,01-May-24,"1,200",No,No,Outdoors only,,,,,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No
SUMMER SUBLET - May 1st - August 31st,1125,2024-03-02T02:02:53.000Z,"Seymour Street, Halifax, NS",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/summer-sublet-may-1st-august-31st/1687035185,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Apartment for rent,2925,2024-03-02T01:35:22.000Z,"Chestnut Street, Halifax, NS",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/apartment-for-rent/1687032601,Kijiji User,Owner,2,Month-to-month,Yes,30-Apr-24,40,No,Yes,Outdoors only,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
House for Rent,2700,2024-03-02T01:21:57.000Z,"Dartmouth, NS B2W 6H5",House,3,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/house-for-rent/1687031263,Kijiji User,Owner,3+,1 Year,Yes,01-Apr-24,"1,600",No,Yes,Outdoors only,,,,,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No
Furnished 1-Bedroom Apt at King's Wharf - Dartmouth,3000,2024-03-02T00:11:12.000Z,"49 Kings Wharf Pl, Halifax, NS, B2Y 0B4",,1,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/furnished-1-bedroom-apt-at-kings-wharf-dartmouth/1585527075,Kijiji User,Professional,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
The Liam Sackville Dr 2 Bedroom Ready for June 1st,2550,2024-03-02T00:11:11.000Z,"533 Sackville Dr., Lower Sackville, NS, B4C 2S1",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/the-liam-sackville-dr-2-bedroom-ready-for-june-1st/1684054599,Kijiji User,Professional,1,1 Year,No,01-Jun-24,Not Available,No,Yes,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
